96																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
64		8	五	35	16	8	33	49	20	8	16	20	33	35	49	24
65		12	二	43	16	24	33	22	49	16	22	24	33	43	49	45
66		15	五	23	8	24	43	14	44	8	14	23	24	43	44	4
67		19	二	39	43	16	2	25	35	2	16	25	35	39	43	26
68		22	五	4	37	8	26	31	5	4	5	8	26	31	37	10
69		26	二	23	18	24	2	4	6	2	4	6	18	23	24	32
70		29	五	28	24	2	25	26	46	2	24	25	26	28	46	49
71	9	2	二	3	34	25	21	10	2	2	3	10	21	25	34	47
72		5	五	2	32	33	22	14	3	2	3	14	22	32	33	24
																
97																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
73	9	9	二	46	23	28	10	35	27	10	23	27	28	35	46	2
74		12	五	34	37	16	9	18	1	1	9	16	18	34	37	12
75		16	二	2	31	44	32	46	25	2	25	31	32	44	46	7
76		19	五	23	2	13	48	28	35	2	13	23	28	35	48	18
77		23	二	20	22	29	35	2	9	2	9	20	22	29	35	38
78		26	五	42	30	15	41	29	36	15	29	30	36	41	42	39
79		30	二	22	9	13	1	7	27	1	7	9	13	22	27	34
80	10	3	五	18	41	48	19	37	45	18	19	37	41	45	48	9
81		7	二	33	1	34	20	29	28	1	20	28	29	33	34	40
82		10	五	13	24	14	41	20	47	13	14	20	24	41	47	6
83		14	二	28	46	30	8	44	43	8	28	30	43	44	46	12
84		17	五	5	36	28	11	15	19	5	11	15	19	28	36	46
85		21	二	4	30	7	8	2	18	2	4	7	8	18	30	33
86		24	五	49	14	6	9	5	8	5	6	8	9	14	49	3
87		28	二	12	14	2	36	41	7	2	7	12	14	36	41	35
88		31	五	9	1	47	11	19	3	1	3	9	11	19	47	40
89	11	4	二	40	32	19	11	20	13	11	13	19	20	32	40	9
90		7	五	33	25	40	15	30	46	15	25	30	33	40	46	18
91		11	二	45	39	11	33	13	34	11	13	33	34	39	45	15
92		14	五	36	7	23	43	35	15	7	15	23	35	36	43	8
93		18	二	34	39	17	29	14	20	14	17	20	29	34	39	7
94		21	五	37	17	16	30	28	21	16	17	21	28	30	37	9
95		25	二	15	39	46	49	4	26	4	15	26	39	46	49	11
96		28	五	5	1	17	7	16	41	1	5	7	16	17	41	20
97	12	2	二	21	7	37	30	49	29	7	21	29	30	37	49	36
98		5	五	2	8	44	40	3	31	2	3	8	31	40	44	45
99		9	二	26	16	41	6	1	5	1	5	6	16	26	41	48
100		12	五	34	28	42	39	2	36	2	28	34	36	39	42	24
101		16	二	35	40	25	26	39	14	14	25	26	35	39	40	37
102		19	五	10	30	15	38	45	3	3	10	15	30	38	45	41
103		23	二	23	45	2	25	7	39	2	7	23	25	39	45	22
104		26	五	40	18	37	8	33	15	8	15	18	33	37	40	32
105		30	二	25	9	39	26	36	3	3	9	25	26	36	39	35
																
																
																
																
98																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
1	1	2	五	26	38	6	2	35	23	2	6	23	26	35	38	11
2		6	二	21	20	15	29	33	4	4	15	20	21	29	33	16
3		9	五	37	30	45	27	4	15	4	15	27	30	37	45	19
4		13	二	18	48	47	4	11	33	4	11	18	33	47	48	30
5		16	五	8	40	24	26	33	25	8	24	25	26	33	40	13
6		20	二	40	23	22	7	21	43	7	21	22	23	40	43	34
7		23	五	10	28	11	40	38	21	10	11	21	28	38	40	29
8		27	二	32	13	27	35	38	14	13	14	27	32	35	38	48
9		30	五	10	5	41	39	2	23	2	5	10	23	39	41	48
10	2	3	二	14	43	3	42	23	10	3	10	14	23	42	43	34
11		6	五	10	32	7	21	27	4	4	7	10	21	27	32	37
12		10	二	18	48	12	46	9	30	9	12	18	30	46	48	42
13		13	五	3	24	2	42	45	7	2	3	7	24	42	45	10
14		17	二	43	22	36	21	16	5	5	16	21	22	36	43	28
15		20	五	1	40	13	49	34	24	1	13	24	34	40	49	37
16		24	二	4	25	38	23	11	46	4	11	23	25	38	46	17
17		27	五	34	17	26	19	36	13	13	17	19	26	34	36	2
18	3	3	二	45	26	7	28	34	14	7	14	26	28	34	45	9
19		6	五	13	26	31	32	21	6	6	13	21	26	31	32	30
20		10	二	13	38	28	36	9	26	9	13	26	28	36	38	46
21		13	五	47	24	46	45	32	9	9	24	32	45	46	47	33
22		17	二	35	5	23	18	29	1	1	5	18	23	29	35	27
23		20	五	31	18	7	11	2	9	2	7	9	11	18	31	5
24		24	二	18	29	21	25	7	2	2	7	18	21	25	29	32
25		27	五	1	28	18	34	40	2	1	2	18	28	34	40	25
26		31	二	25	16	47	31	23	13	13	16	23	25	31	47	36
27	4	3	五	36	33	44	6	42	45	6	33	36	42	44	45	48
28		7	二	43	46	24	12	31	3	3	12	24	31	43	46	42
29		10	五	25	36	40	44	8	9	8	9	25	36	40	44	17
30		14	二	45	23	8	48	2	20	2	8	20	23	45	48	43
31		17	五	24	38	21	18	22	16	16	18	21	22	24	38	34
32		21	二	16	36	11	27	39	23	11	16	23	27	36	39	35
33		24	五	24	20	49	42	13	21	13	20	21	24	42	49	43
34		28	二	18	5	39	30	43	29	5	18	29	30	39	43	26
35	5	1	五	5	38	21	43	3	26	3	5	21	26	38	43	32
36		5	二	45	37	12	15	42	47	12	15	37	42	45	47	29
																
98																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
37	5	8	五	3	22	19	24	31	15	3	15	19	22	24	31	5
38		12	二	44	20	39	3	1	26	1	3	20	26	39	44	30
39		15	五	7	18	5	15	45	14	5	7	14	15	18	45	11
40		19	二	38	46	32	11	31	48	11	31	32	38	46	48	42
41		22	五	18	1	32	2	40	16	1	2	16	18	32	40	15
42		26	二	39	8	48	41	3	33	3	8	33	39	41	48	32
43		29	五	45	36	21	29	34	30	21	29	30	34	36	45	49
44	6	2	二	46	11	34	12	20	28	11	12	20	28	34	46	41
45		5	五	6	27	44	42	49	23	6	23	27	42	44	49	15
46		9	二	26	44	49	35	36	27	26	27	35	36	44	49	42
47		12	五	44	43	12	41	32	13	12	13	32	41	43	44	21
48		16	二	8	5	25	30	10	3	3	5	8	10	25	30	15
49		19	五	40	23	2	12	42	19	2	12	19	23	40	42	9
50		23	二	49	43	22	21	6	29	6	21	22	29	43	49	48
51		26	五	38	6	12	43	45	33	6	12	33	38	43	45	49
52		30	二	34	26	7	4	9	21	4	7	9	21	26	34	28
53	7	3	五	40	41	19	47	17	32	17	19	32	40	41	47	37
54		7	二	47	31	25	39	37	2	2	25	31	37	39	47	35
55		10	五	8	46	3	21	30	26	3	8	21	26	30	46	11
56		14	二	41	37	44	4	15	5	4	5	15	37	41	44	8
57		17	五	11	13	38	16	9	42	9	11	13	16	38	42	6
58		21	二	39	28	48	17	27	5	5	17	27	28	39	48	44
59		24	五	40	1	7	22	47	3	1	3	7	22	40	47	15
60		28	二	2	49	13	15	25	10	2	10	13	15	25	49	4
61		31	五	7	4	10	9	24	42	4	7	9	10	24	42	41
62	8	4	二	23	21	27	48	44	2	2	21	23	27	44	48	30
63		7	五	26	2	31	15	1	49	1	2	15	26	31	49	43
64		11	二	24	46	27	3	30	28	3	24	27	28	30	46	42
65		14	五	39	8	4	26	15	49	4	8	15	26	39	49	34
66		18	二	18	47	31	11	46	12	11	12	18	31	46	47	27
67		21	五	42	32	37	11	13	43	11	13	32	37	42	43	20
68		25	二	38	9	1	7	21	15	1	7	9	15	21	38	31
69		28	五	39	23	45	44	12	48	12	23	39	44	45	48	47
70	9	1	二	26	8	19	36	12	7	7	8	12	19	26	36	9
71		4	五	40	5	49	31	28	36	5	28	31	36	40	49	20
72		8	二	12	15	19	8	11	20	8	11	12	15	19	20	34
																
98																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
73	9	11	五	33	48	16	18	31	10	10	16	18	31	33	48	7
74		15	二	36	2	4	43	48	26	2	4	26	36	43	48	30
75		18	五	38	2	8	9	4	26	2	4	8	9	26	38	23
76		22	二	21	8	12	3	42	4	3	4	8	12	21	42	48
77		25	五	9	37	13	1	33	16	1	9	13	16	33	37	4
78		29	二	27	32	17	47	37	45	17	27	32	37	45	47	25
79	10	2	五	9	25	15	30	35	28	9	15	25	28	30	35	22
80		6	二	33	26	14	22	9	15	9	14	15	22	26	33	16
81		9	五	14	10	33	17	41	40	10	14	17	33	40	41	12
82		13	二	49	40	44	28	5	13	5	13	28	40	44	49	43
83		16	五	43	15	30	13	20	29	13	15	20	29	30	43	1
84		20	二	11	14	46	1	12	41	1	11	12	14	41	46	45
85		23	五	6	34	19	18	21	5	5	6	18	19	21	34	10
86		27	二	2	46	28	42	12	32	2	12	28	32	42	46	23
87		30	五	37	8	4	20	39	12	4	8	12	20	37	39	30
88	11	3	二	13	34	5	26	29	20	5	13	20	26	29	34	30
89		6	五	46	45	10	1	2	44	1	2	10	44	45	46	22
90		10	二	2	25	42	7	22	26	2	7	22	25	26	42	44
91		13	五	47	33	13	32	38	25	13	25	32	33	38	47	26
92		17	二	10	34	1	8	49	4	1	4	8	10	34	49	46
93		20	五	31	13	26	15	5	20	5	13	15	20	26	31	35
94		24	二	13	40	23	27	2	7	2	7	13	23	27	40	4
95		27	五	5	19	15	26	6	1	1	5	6	15	19	26	14
96	12	1	二	27	11	23	29	49	38	11	23	27	29	38	49	40
97		4	五	13	2	3	22	19	39	2	3	13	19	22	39	21
98		8	二	19	4	32	16	39	27	4	16	19	27	32	39	21
99		11	五	36	12	48	20	29	15	12	15	20	29	36	48	31
100		15	二	43	48	38	44	35	4	4	35	38	43	44	48	37
101		18	五	16	32	45	43	3	42	3	16	32	42	43	45	6
102		22	二	10	11	24	27	14	47	10	11	14	24	27	47	32
103		25	五	9	22	42	12	47	30	9	12	22	30	42	47	27
104		29	二	48	21	25	12	42	29	12	21	25	29	42	48	6
																
																
																
																
																
98																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
1	1	1	五	22	20	23	2	16	27	2	16	20	22	23	27	46
2		5	二	23	38	11	24	18	40	11	18	24	32	38	40	47
3		8	五	1	43	21	45	19	8	1	8	19	21	43	45	30
4		12	二	36	1	48	23	46	34	1	23	34	36	46	48	18
5		15	五	47	4	49	7	26	41	4	7	26	41	47	49	3
6		19	二	32	35	25	45	24	13	13	24	25	32	35	45	5
7		22	五	3	23	24	31	32	46	3	23	24	31	32	46	47
8		26	二	26	39	40	33	28	25	25	26	28	33	39	40	10
9		29	五	34	18	16	49	29	44	16	18	29	34	44	49	8
10	2	2	二	27	15	21	8	41	18	9	15	18	21	27	41	46
11		5	五	36	1	19	5	33	14	1	5	14	19	33	36	16
12		9	二	32	9	13	35	45	34	9	13	32	34	35	45	38
13		12	五	32	1	23	40	14	31	1	14	23	31	32	40	35
14		16	二	49	29	26	43	36	5	5	26	29	36	43	49	12
15		19	五	27	43	14	30	12	37	12	14	27	30	37	43	36
16		23	二	45	19	5	40	48	23	5	19	23	40	45	48	6
17		26	五	22	6	47	32	5	34	5	6	22	32	34	47	1
18	3	2	二	34	38	2	33	3	9	2	3	9	33	34	38	45
19		5	五	22	35	38	21	3	15	3	15	21	22	35	38	4
20		9	二	12	36	16	7	14	5	5	7	12	14	16	36	4
21		12	五	38	31	35	18	23	19	18	19	23	31	35	38	22
22		16	二	26	36	39	46	37	41	26	36	37	39	41	46	4
23		19	五	8	22	49	18	5	29	5	8	18	22	29	49	47
24		23	二	37	22	35	48	11	28	11	22	28	35	37	48	49
25		26	五	36	17	19	9	23	35	9	17	19	23	35	36	34
26		30	二	16	46	47	49	37	41	16	37	41	46	47	49	14
27	4	2	五	48	6	21	41	1	16	1	6	16	21	41	48	12
28		6	二	9	23	31	28	27	41	9	23	27	28	31	41	44
29		9	五	49	36	40	4	5	29	4	5	29	36	40	49	26
30		13	二	14	49	46	34	42	12	12	14	34	42	46	49	25
31		16	五	34	31	1	24	40	30	1	24	30	31	34	40	43
32		20	二	7	41	23	32	2	21	2	7	21	23	32	41	42
33		23	五	47	45	4	30	3	49	3	4	30	45	47	49	27
34		27	二	34	35	12	48	14	16	12	14	16	34	35	48	43
35		30	五	44	35	37	39	8	36	8	35	36	37	39	44	20
36	5	4	二	15	35	4	32	34	23	4	15	23	32	34	35	18
																
99																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
37	5	7	五	38	23	49	28	19	32	19	23	28	32	38	49	20
38		11	二	42	45	11	13	33	29	11	13	29	33	42	45	2
39		14	五	16	28	47	6	21	3	3	6	16	21	28	47	18
40		18	二	33	3	6	27	14	28	3	6	14	27	28	33	5
41		21	五	44	12	27	16	47	4	4	12	16	27	44	47	39
42		25	二	1	30	43	32	20	34	1	20	30	32	34	43	3
43		28	五	20	43	19	3	26	18	3	18	19	20	26	43	10
44	6	1	二	2	40	5	15	35	28	2	5	15	28	35	40	1
45		4	五	39	27	28	15	11	37	11	15	27	28	37	39	4
46		8	二	46	40	42	24	8	25	8	24	25	40	42	46	10
47		11	五	42	43	20	21	27	1	1	20	21	27	42	43	26
48		15	二	27	2	4	20	17	44	2	4	17	20	27	44	24
49		18	五	48	26	2	5	15	20	2	5	15	20	26	48	8
50		22	二	15	9	36	26	42	28	9	15	26	28	36	42	40
51		25	五	47	11	27	24	46	39	11	24	27	39	46	47	20
52		29	二	1	4	11	48	20	18	1	4	11	18	20	48	5
53	7	2	五	23	32	45	7	20	10	7	10	20	23	32	45	17
54		6	二	5	21	48	43	25	11	5	11	21	25	43	48	31
55		9	五	24	35	32	11	25	33	11	24	25	32	33	35	23
56		13	二	2	31	34	5	8	15	2	5	8	15	31	34	12
57		16	五	17	16	32	20	18	45	16	17	18	20	32	45	9
58		20	二	23	29	5	43	27	22	5	22	23	27	29	43	47
59		23	五	43	49	42	15	8	22	8	15	22	42	43	49	7
60		27	二	38	33	44	49	15	3	3	15	33	38	44	49	30
61		30	五	11	14	8	36	12	23	8	11	12	14	23	36	45
62	8	3	二	3	25	49	15	13	29	3	13	15	25	29	49	9
63		6	五	19	47	22	28	10	21	10	19	21	22	28	47	39
64		10	二	24	25	40	28	3	38	3	24	25	28	38	40	11
65		13	五	36	2	22	30	48	13	2	13	22	30	36	48	9
66		17	二	6	18	19	14	20	42	6	14	18	19	20	42	9
67		20	五	8	28	21	44	38	33	8	21	28	33	38	44	27
68		24	二	6	45	47	30	8	48	6	8	30	45	47	48	29
69		27	五	27	14	47	30	42	8	8	14	27	30	42	47	29
70		31	二	4	20	7	31	43	23	4	7	20	23	31	43	47
71	9	3	五	5	7	38	47	18	20	5	7	18	20	38	47	37
72		7	二	4	8	43	16	3	41	3	4	8	16	41	43	22
																
99																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
73	9	10	五	41	10	18	42	14	49	10	14	18	41	42	49	24
74		14	二	19	44	26	2	1	22	1	2	19	22	26	44	3
75		17	五	24	35	12	39	13	34	12	13	24	34	35	39	14
76		21	二	1	22	45	39	35	38	1	22	35	38	39	45	8
77		24	五	36	8	2	29	42	44	2	8	29	36	42	44	22
78		28	二	3	4	32	19	22	40	3	4	19	22	32	40	11
79	10	1	五	23	37	12	38	48	8	8	12	23	37	38	48	20
80		5	二	14	16	32	21	43	35	14	16	21	32	35	43	49
81		8	五	39	48	14	41	11	3	3	11	14	39	41	48	6
82		12	二	31	8	9	20	10	40	8	9	10	20	31	40	25
83		15	五	46	28	30	1	20	11	1	11	20	28	30	46	10
84		19	二	36	12	21	35	27	37	12	21	27	35	36	37	8
85		22	五	1	18	49	13	4	8	1	4	8	13	18	49	3
86		26	二	3	43	22	35	14	44	3	14	22	35	43	44	26
87		29	五	27	19	13	4	28	26	4	13	19	26	27	28	33
88	11	2	二	5	34	36	39	4	21	4	5	21	34	36	39	28
89		5	五	47	28	16	5	8	13	5	8	13	16	28	47	46
90		9	二	21	31	30	5	36	7	5	7	21	30	31	36	49
91		12	五	39	10	37	3	23	36	3	10	23	36	37	39	15
92		16	二	2	10	7	12	43	15	2	7	10	12	15	43	22
93		19	五	43	3	40	45	44	6	3	6	40	43	44	45	41
94		23	二	2	26	3	32	48	30	2	3	26	30	32	48	41
95		26	五	22	23	44	35	18	49	18	22	23	35	44	49	26
96		30	二	7	24	8	36	34	38	7	8	24	34	36	38	16
97	12	3	五	38	23	17	48	33	43	17	23	33	38	43	48	19
98		7	二	30	37	38	49	21	22	21	22	30	37	38	49	34
99		10	五	17	22	26	33	29	1	1	17	22	26	29	33	3
100		14	二	15	41	16	20	32	17	15	16	17	20	32	41	8
101		17	五	41	9	30	35	28	25	9	25	28	30	35	41	12
102		21	二	23	38	12	35	45	1	1	12	23	35	38	45	26
103		24	五	48	27	16	49	43	39	16	27	39	43	48	49	1
